category,method,auroc_mean,auroc_sd,ap_mean
pill,Bubble_B+D,0.6472995090016367,0.04373626426400482,0.9069032477825044
screw,PatchScore_same_centers,0.7874564459930312,0.010015816128608817,0.9213191042816918
screw,PatchScore_byte_budget,0.9531324725011956,0.009303319292583535,0.9838067581061448
screw,RBF_SVDD,0.5745029719204755,0.0185904512036893,0.7514201011619493
screw,DeepSVDD_head,0.48035799685727953,0.0699158098463919,0.7635503571170542
screw,DROCC_head,0.5677734508437522,0.27814274038354786,0.7948833408651653
screw,Bubble_A,0.728086356493817,0.08930457748695655,0.8845373739098554
screw,Bubble_B,0.7225524356083897,0.08877924517827127,0.8821544214508447
screw,Bubble_A+D,0.688050830088133,0.0940933986629829,0.8693664872879138
screw,Bubble_B+D,0.6816287490605998,0.09577498185407109,0.8654729141505935
tile,PatchScore_same_centers,0.9886964886964887,0.0024555769428405436,0.9961674166432206
tile,PatchScore_byte_budget,0.9867724867724869,0.0015019235205382638,0.9958654309839695
tile,RBF_SVDD,0.9900192400192402,0.0010413965894474993,0.9968568344410397
tile,DeepSVDD_head,0.8761423761423762,0.03304428669847763,0.9566290120098765
tile,DROCC_head,0.7663540163540162,0.22239735529380808,0.8850256503573547
tile,Bubble_A,0.9895382395382395,0.0006248379536685252,0.9965013514725962
tile,Bubble_B,0.9881553631553631,0.0004539342493550177,0.9960816519091278
tile,Bubble_A+D,0.9942279942279942,0.0026014078466551757,0.9981097396430371
tile,Bubble_B+D,0.9944684944684945,0.003613511111427793,0.9981959821128
toothbrush,PatchScore_same_centers,0.9592592592592593,0.02782403555799405,0.9860071384842465
toothbrush,PatchScore_byte_budget,0.9972222222222222,0.0027777777777778095,0.9989471326164875
toothbrush,RBF_SVDD,0.8648148148148148,0.008018753738744853,0.9486269134263668
toothbrush,DeepSVDD_head,0.7925925925925927,0.015298807075794688,0.9177536055794858
toothbrush,DROCC_head,0.524074074074074,0.049091541265968736,0.7365767303254405
toothbrush,Bubble_A,0.8500000000000001,0.007349309197401641,0.9380296999174024
toothbrush,Bubble_B,0.8453703703703703,0.0016037507477489469,0.9365563112793719
toothbrush,Bubble_A+D,0.8111111111111112,0.012108052620946295,0.9218715707802575
toothbrush,Bubble_B+D,0.8027777777777777,0.02545875386086577,0.9186647290935749
transistor,PatchScore_same_centers,0.9929166666666666,0.005120085719768576,0.9925826655613892
transistor,PatchScore_byte_budget,0.9995833333333333,0.0004166666666666763,0.9993999225706545
transistor,RBF_SVDD,0.7755555555555556,0.006364688465216483,0.7857040085493243
transistor,DeepSVDD_head,0.7904166666666667,0.01323531681189051,0.7612699709189134
transistor,DROCC_head,0.512638888888889,0.02189119770677335,0.40622405730901673
transistor,Bubble_A,0.970138888888889,0.0040895644067598,0.9646504688919982
transistor,Bubble_B,0.9691666666666667,0.004103690750748482,0.9635878844375455
transistor,Bubble_A+D,0.928888888888889,0.011534469276108066,0.9288289402122437
transistor,Bubble_B+D,0.9115277777777777,0.012536982329329713,0.9144514941654386
wood,PatchScore_same_centers,0.9900584795321636,0.0013399344137298031,0.9970399301067511
