category,method,auroc_mean,auroc_sd
screw,NBD,0.6811505089840816,0.10235087853107902
screw,PatchScore_byte_budget,0.9531324725011956,0.009303319292583535
screw,PatchScore_same_centers,0.7874564459930312,0.010015816128608817
screw,RBF_SVDD,0.5745029719204755,0.0185904512036893
tile,Bubble_B,0.9881553631553631,0.0004539342493550177
tile,Bubble_BA,0.9885762385762386,0.00020827931788947902
tile,Bubble_BAD,0.9936267436267436,0.0022042211134948686
tile,Bubble_BAF,0.9858104858104858,0.0027552763918686023
tile,DROCC_head,0.7354497354497355,0.2127094788479983
tile,DeepSVDD_head,0.8535353535353535,0.028595013368352563
tile,NBD,0.9917027417027416,0.00108225108225099
tile,PatchScore_byte_budget,0.9867724867724869,0.0015019235205382638
tile,PatchScore_same_centers,0.9886964886964887,0.0024555769428405436
tile,RBF_SVDD,0.9900192400192402,0.0010413965894474993
toothbrush,Bubble_B,0.8444444444444444,0.0
toothbrush,Bubble_BA,0.8481481481481482,0.0016037507477489707
toothbrush,Bubble_BAD,0.8324074074074074,0.009755234956345121
toothbrush,Bubble_BAF,0.8222222222222223,0.010015420209622214
toothbrush,DROCC_head,0.5212962962962963,0.04429953227372477
toothbrush,DeepSVDD_head,0.8314814814814815,0.025204921460770798
toothbrush,NBD,0.7953703703703704,0.03072344448710572
toothbrush,PatchScore_byte_budget,0.9972222222222222,0.0027777777777778095
toothbrush,PatchScore_same_centers,0.9592592592592593,0.02782403555799405
toothbrush,RBF_SVDD,0.8648148148148148,0.008018753738744853
transistor,Bubble_B,0.9691666666666667,0.004103690750748482
transistor,Bubble_BA,0.9702777777777779,0.003780738219115626
transistor,Bubble_BAD,0.9602777777777778,0.010617508252009142
transistor,Bubble_BAF,0.9769444444444444,0.008061539922739724
transistor,DROCC_head,0.49583333333333335,0.0072168783648703366
transistor,DeepSVDD_head,0.7777777777777778,0.027989126526272758
transistor,NBD,0.9629166666666666,0.016250000000000105
