category,seed,method,auroc,average_precision,threshold,test_fpr,test_tpr,false_positives,true_positives,test_normal,test_anomaly,threshold_calibration_count,threshold_calibration_fpr
carpet,2,Bubble_BA,0.8507223113964688,0.914537719464712,15.69854541274575,0.3214285714285714,0.9887640449438202,9,88,28,89,56,0.0178571428571428
carpet,2,Bubble_BAD,0.8025682182985554,0.8929815239322235,17.94462856170305,0.3571428571428571,0.9887640449438202,10,88,28,89,56,0.0178571428571428
carpet,2,Bubble_BAF,0.8820224719101123,0.9518748804512628,15.979951944840677,0.3571428571428571,0.9887640449438202,10,88,28,89,56,0.0178571428571428
carpet,2,NBD,0.8174157303370786,0.9077874966443852,18.05044861077618,0.3928571428571428,0.9887640449438202,11,88,28,89,56,0.0178571428571428
grid,0,PatchScore_same_centers,0.9323308270676692,0.9763967649201496,4.709009647369385,0.0476190476190476,0.6842105263157895,1,39,21,57,54,0.0185185185185185
grid,0,PatchScore_byte_budget,0.9557226399331664,0.9853682780074592,4.258688926696777,0.0,0.7543859649122807,0,43,21,57,54,0.0185185185185185
grid,0,RBF_SVDD,0.5989974937343359,0.8142613692257548,0.0850849448447274,0.0476190476190476,0.1228070175438596,1,7,21,57,54,0.0185185185185185
grid,0,DeepSVDD_head,0.6883876357560568,0.8684241609497758,0.0408932634163647,0.0952380952380952,0.2631578947368421,2,15,21,57,54,0.0185185185185185
grid,0,DROCC_head,0.2506265664160401,0.5905421289639453,-0.0003786992747336,0.3809523809523809,0.0350877192982456,8,2,21,57,54,0.0185185185185185
grid,0,Bubble_B,0.8796992481203009,0.9508185777918718,7.3598898326490065,0.0,0.1403508771929824,0,8,21,57,54,0.0185185185185185
grid,0,Bubble_BA,0.8796992481203008,0.9508913209926904,14.743707808734392,0.0,0.1403508771929824,0,8,21,57,54,0.0185185185185185
grid,0,Bubble_BAD,0.8145363408521303,0.9195405092731532,17.67539096934818,0.0,0.087719298245614,0,5,21,57,54,0.0185185185185185
grid,0,Bubble_BAF,0.837092731829574,0.9342006453550158,16.829634024835475,0.0,0.087719298245614,0,5,21,57,54,0.0185185185185185
grid,0,NBD,0.77109440267335,0.9007812594990317,20.739393051345683,0.0,0.0701754385964912,0,4,21,57,54,0.0185185185185185
grid,1,PatchScore_same_centers,0.9548872180451128,0.9850033908621812,4.450532913208008,0.0,0.7192982456140351,0,41,21,57,54,0.0185185185185185
grid,1,PatchScore_byte_budget,0.9665831244778612,0.9890427199937868,4.052158832550049,0.0,0.7719298245614035,0,44,21,57,54,0.0185185185185185
grid,1,RBF_SVDD,0.6065162907268171,0.8157854140059981,0.0675561384509555,0.0952380952380952,0.1578947368421052,2,9,21,57,54,0.0185185185185185
grid,1,DeepSVDD_head,0.6992481203007519,0.871001469261371,0.0344906279351562,0.0952380952380952,0.2631578947368421,2,15,21,57,54,0.0185185185185185
grid,1,DROCC_head,0.5,0.7307692307692307,1.9182077721779933e-06,0.0,0.0,0,0,21,57,54,0.0
grid,1,Bubble_B,0.8638262322472848,0.945291159492327,7.501430519225954,0.0,0.2456140350877192,0,14,21,57,54,0.0185185185185185
grid,1,Bubble_BA,0.8671679197994988,0.9468260614586652,15.981156586684705,0.0,0.2280701754385964,0,13,21,57,54,0.0185185185185185
grid,1,Bubble_BAD,0.7928153717627401,0.9160049416556886,16.808514902881836,0.0,0.2105263157894736,0,12,21,57,54,0.0185185185185185
grid,1,Bubble_BAF,0.7744360902255639,0.91333153190286,16.983681920406468,0.0,0.2280701754385964,0,13,21,57,54,0.0185185185185185
