track,dataset,class_or_category,seed,variant,selection,selected_epoch,auroc,average_precision,test_count
DeepSVDD,mnist,4,2,one-class,fixed_final_epoch,150,0.9338277506990996,0.9920864227134234,10000
DeepSVDD,mnist,4,2,soft-boundary,fixed_final_epoch,150,0.9394101590889278,0.9928203004916692,10000
DeepSVDD,mnist,4,3,one-class,fixed_final_epoch,150,0.939909274006863,0.9928426901088498,10000
DeepSVDD,mnist,4,3,soft-boundary,fixed_final_epoch,150,0.9347306744284682,0.9924183068598668,10000
DeepSVDD,mnist,4,4,one-class,fixed_final_epoch,150,0.9182444118325919,0.9900960680712138,10000
DeepSVDD,mnist,4,4,soft-boundary,fixed_final_epoch,150,0.8992924424967671,0.9875889331295347,10000
DeepSVDD,mnist,4,5,one-class,fixed_final_epoch,150,0.9277203682700226,0.991242130520032,10000
DeepSVDD,mnist,4,5,soft-boundary,fixed_final_epoch,150,0.9283781384955818,0.9917084092487952,10000
DeepSVDD,mnist,4,6,one-class,fixed_final_epoch,150,0.9491992480303029,0.9939585167162116,10000
DeepSVDD,mnist,4,6,soft-boundary,fixed_final_epoch,150,0.9385714879360988,0.9928061101685718,10000
DeepSVDD,mnist,4,7,one-class,fixed_final_epoch,150,0.9304253001126057,0.9914664895828186,10000
DeepSVDD,mnist,4,7,soft-boundary,fixed_final_epoch,150,0.9415713718523577,0.9929402555299501,10000
DeepSVDD,mnist,4,8,one-class,fixed_final_epoch,150,0.9565585958655217,0.9949822747619287,10000
DeepSVDD,mnist,4,8,soft-boundary,fixed_final_epoch,150,0.9549439252294235,0.9949208830653162,10000
DeepSVDD,mnist,4,9,one-class,fixed_final_epoch,150,0.9542023669339302,0.9946454445150675,10000
DeepSVDD,mnist,4,9,soft-boundary,fixed_final_epoch,150,0.9450720645154588,0.9936431950349065,10000
DeepSVDD,mnist,4,10,one-class,fixed_final_epoch,150,0.9467768468494104,0.9937095305127808,10000
DeepSVDD,mnist,4,10,soft-boundary,fixed_final_epoch,150,0.9524105217941577,0.9943737161887003,10000
DeepSVDD,mnist,5,1,one-class,fixed_final_epoch,150,0.8297422706298706,0.9763419788303975,10000
DeepSVDD,mnist,5,1,soft-boundary,fixed_final_epoch,150,0.8233710422611767,0.9772177080026901,10000
DeepSVDD,mnist,5,2,one-class,fixed_final_epoch,150,0.8707260507197142,0.9824186393548359,10000
DeepSVDD,mnist,5,2,soft-boundary,fixed_final_epoch,150,0.8710534620921636,0.9832423882127534,10000
DeepSVDD,mnist,5,3,one-class,fixed_final_epoch,150,0.8541922687589484,0.9782871011112447,10000
DeepSVDD,mnist,5,3,soft-boundary,fixed_final_epoch,150,0.829606567232079,0.9766881176516253,10000
DeepSVDD,mnist,5,4,one-class,fixed_final_epoch,150,0.8776535091606256,0.9831657054410496,10000
DeepSVDD,mnist,5,4,soft-boundary,fixed_final_epoch,150,0.8815144400723949,0.9844750660309103,10000
DeepSVDD,mnist,5,5,one-class,fixed_final_epoch,150,0.8891674347294352,0.984785935011276,10000
DeepSVDD,mnist,5,5,soft-boundary,fixed_final_epoch,150,0.8914861472986838,0.9868630897500598,10000
DeepSVDD,mnist,5,6,one-class,fixed_final_epoch,150,0.8887191519405401,0.9862503819735838,10000
DeepSVDD,mnist,5,6,soft-boundary,fixed_final_epoch,150,0.888279608327376,0.9868273102064088,10000
DeepSVDD,mnist,5,7,one-class,fixed_final_epoch,150,0.8483931486831662,0.9800432000459053,10000
DeepSVDD,mnist,5,7,soft-boundary,fixed_final_epoch,150,0.842938979874786,0.979426974796738,10000
DeepSVDD,mnist,5,8,one-class,fixed_final_epoch,150,0.8684239548930521,0.9816355474296845,10000
DeepSVDD,mnist,5,8,soft-boundary,fixed_final_epoch,150,0.8574263792142521,0.9807798814211639,10000
DeepSVDD,mnist,5,9,one-class,fixed_final_epoch,150,0.8606449807098082,0.980554882786462,10000
DeepSVDD,mnist,5,9,soft-boundary,fixed_final_epoch,150,0.870340173030756,0.983659406566301,10000
DeepSVDD,mnist,5,10,one-class,fixed_final_epoch,150,0.838286968928907,0.9770859830138503,10000
DeepSVDD,mnist,5,10,soft-boundary,fixed_final_epoch,150,0.8195248202437713,0.9763172908935809,10000
DeepSVDD,mnist,6,1,one-class,fixed_final_epoch,150,0.9878288931402931,0.9985294520778887,10000
DeepSVDD,mnist,6,1,soft-boundary,fixed_final_epoch,150,0.985758411569484,0.9983110371914824,10000
DeepSVDD,mnist,6,2,one-class,fixed_final_epoch,150,0.9754417912418918,0.9961388412089321,10000
DeepSVDD,mnist,6,2,soft-boundary,fixed_final_epoch,150,0.9707675939561102,0.9958032458107031,10000
DeepSVDD,mnist,6,3,one-class,fixed_final_epoch,150,0.981892435163392,0.9977200349878909,10000
DeepSVDD,mnist,6,3,soft-boundary,fixed_final_epoch,150,0.9729706048184326,0.9969222241944405,10000
DeepSVDD,mnist,6,4,one-class,fixed_final_epoch,150,0.9817004524005118,0.9975378807778108,10000
DeepSVDD,mnist,6,4,soft-boundary,fixed_final_epoch,150,0.9798331516250538,0.9974491296683627,10000
DeepSVDD,mnist,6,5,one-class,fixed_final_epoch,150,0.9785260988040502,0.9968200996045791,10000
DeepSVDD,mnist,6,5,soft-boundary,fixed_final_epoch,150,0.9660446794568978,0.9952878892057497,10000
DeepSVDD,mnist,6,6,one-class,fixed_final_epoch,150,0.984991404067033,0.9979089300156149,10000
DeepSVDD,mnist,6,6,soft-boundary,fixed_final_epoch,150,0.985012645695638,0.9981238136171676,10000
