category,seed,method,auroc,average_precision,threshold,test_fpr,test_tpr,false_positives,true_positives,test_normal,test_anomaly,threshold_calibration_count,threshold_calibration_fpr
pill,1,RBF_SVDD,0.5422804146208402,0.884679946085058,0.06083232839640784,0.11538461538461539,0.24113475177304963,3,34,26,141,54,0.018518518518518517
pill,1,DeepSVDD_head,0.7757774140752864,0.9477028700385093,0.012021516682580113,0.0,0.20567375886524822,0,29,26,141,54,0.018518518518518517
pill,1,DROCC_head,0.5,0.844311377245509,-0.07672367244958878,0.0,0.0,0,0,26,141,54,0.0
pill,1,Bubble_B,0.45608292416803053,0.8569707915492571,6.226278142854795,0.038461538461538464,0.1276595744680851,1,18,26,141,54,0.018518518518518517
pill,1,Bubble_BA,0.4536279323513366,0.8559655003308788,12.651664930259496,0.038461538461538464,0.09929078014184398,1,14,26,141,54,0.018518518518518517
pill,1,Bubble_BAD,0.5169121658483361,0.8703018266823032,15.620796203782259,0.0,0.09219858156028368,0,13,26,141,54,0.018518518518518517
pill,1,Bubble_BAF,0.49236224768139664,0.8687487859565028,13.432470527475203,0.038461538461538464,0.11347517730496454,1,16,26,141,54,0.018518518518518517
pill,1,NBD,0.5821058374249863,0.8907223445607578,17.711603918913156,0.0,0.10638297872340426,0,15,26,141,54,0.018518518518518517
pill,1,PatchCore_same_fit_top1pct,0.966721222040371,0.9940720488462366,2.569005012512207,0.0,0.7872340425531915,0,111,26,141,54,0.018518518518518517
pill,2,PatchScore_same_centers,0.9138025095471904,0.9822736115027173,3.0352284908294678,0.07692307692307693,0.6028368794326241,2,85,26,141,54,0.018518518518518517
pill,2,PatchScore_byte_budget,0.9656301145662848,0.9939767752128688,2.637476682662964,0.038461538461538464,0.9078014184397163,1,128,26,141,54,0.018518518518518517
pill,2,RBF_SVDD,0.5523731587561375,0.8853759090617915,0.06063574922609899,0.11538461538461539,0.2553191489361702,3,36,26,141,54,0.018518518518518517
pill,2,DeepSVDD_head,0.809328968903437,0.9568420972983555,0.012199819087982178,0.0,0.24822695035460993,0,35,26,141,54,0.018518518518518517
pill,2,DROCC_head,0.5,0.844311377245509,0.07724008709192276,0.0,0.0,0,0,26,141,54,0.0
pill,2,Bubble_B,0.4590834697217676,0.8447869350182355,6.131340199139492,0.038461538461538464,0.09929078014184398,1,14,26,141,54,0.018518518518518517
pill,2,Bubble_BA,0.46617566830332785,0.8468136123051166,12.23089892209486,0.07692307692307693,0.09929078014184398,2,14,26,141,54,0.018518518518518517
pill,2,Bubble_BAD,0.47217675941080195,0.8511813839084568,15.599289438772821,0.038461538461538464,0.0851063829787234,1,12,26,141,54,0.018518518518518517
pill,2,Bubble_BAF,0.45771958537915985,0.847312048653293,12.72505402906534,0.038461538461538464,0.09929078014184398,1,14,26,141,54,0.018518518518518517
pill,2,NBD,0.4708128750681942,0.854044685945697,16.676831911423807,0.0,0.07801418439716312,0,11,26,141,54,0.018518518518518517
pill,2,PatchCore_same_fit_top1pct,0.9609929078014184,0.993029461638456,2.4620232582092285,0.038461538461538464,0.8297872340425532,1,117,26,141,54,0.018518518518518517
screw,0,PatchScore_same_centers,0.7017831522853044,0.865966605707089,3.637474536895752,0.024390243902439025,0.18487394957983194,1,22,41,119,64,0.03125
screw,0,PatchScore_byte_budget,0.9526542324246772,0.9817993495550087,2.2440755367279053,0.04878048780487805,0.7142857142857143,2,85,41,119,64,0.03125
screw,0,RBF_SVDD,0.5308464849354376,0.7386543688870668,0.047676419085122254,0.0,0.0,0,0,41,119,64,0.03125
