track,dataset,class_or_category,seed,variant,auroc,average_precision,pixel_auroc,test_count,memory_bytes,selected_epoch,nu,selected_gamma,paper_reference_auroc_percent
DeepSVDD,cifar10,0,10,soft-boundary,0.6291349444444445,0.9160272709825784,,10000,,,0.1,,61.7
DeepSVDD,cifar10,1,1,one-class,0.605357,0.9337127178098806,,10000,,,0.1,,65.9
DeepSVDD,cifar10,1,1,soft-boundary,0.6204306666666666,0.9366051983920678,,10000,,,0.1,,64.8
DeepSVDD,cifar10,1,2,one-class,0.6355725555555556,0.9401088823036476,,10000,,,0.1,,65.9
DeepSVDD,cifar10,1,2,soft-boundary,0.6428801666666667,0.9416821611678294,,10000,,,0.1,,64.8
DeepSVDD,cifar10,1,3,one-class,0.624689,0.9366697617660816,,10000,,,0.1,,65.9
DeepSVDD,cifar10,1,3,soft-boundary,0.6328756111111111,0.9383023292612226,,10000,,,0.1,,64.8
DeepSVDD,cifar10,1,4,one-class,0.5915952222222223,0.929118754726276,,10000,,,0.1,,65.9
DeepSVDD,cifar10,1,4,soft-boundary,0.5997894444444445,0.9312064861729036,,10000,,,0.1,,64.8
DeepSVDD,cifar10,1,5,one-class,0.6087332777777777,0.9346238964459744,,10000,,,0.1,,65.9
DeepSVDD,cifar10,1,5,soft-boundary,0.6142198333333333,0.9359604589339582,,10000,,,0.1,,64.8
DeepSVDD,cifar10,1,6,one-class,0.5983195555555556,0.9305202892706368,,10000,,,0.1,,65.9
DeepSVDD,cifar10,1,6,soft-boundary,0.614088388888889,0.9337209126260696,,10000,,,0.1,,64.8
DeepSVDD,cifar10,1,7,one-class,0.6202343333333333,0.934608187966262,,10000,,,0.1,,65.9
DeepSVDD,cifar10,1,7,soft-boundary,0.6238601666666668,0.9354600588593276,,10000,,,0.1,,64.8
DeepSVDD,cifar10,1,8,one-class,0.6092188888888889,0.9326814267894324,,10000,,,0.1,,65.9
DeepSVDD,cifar10,1,8,soft-boundary,0.6090565555555556,0.9325988501707746,,10000,,,0.1,,64.8
DeepSVDD,cifar10,1,9,one-class,0.5890757777777778,0.9291164220656009,,10000,,,0.1,,65.9
DeepSVDD,cifar10,1,9,soft-boundary,0.6016871666666667,0.9318139373088544,,10000,,,0.1,,64.8
DeepSVDD,cifar10,1,10,one-class,0.5815186666666666,0.9255399618909206,,10000,,,0.1,,65.9
