track,dataset,class_or_category,seed,variant,auroc,average_precision,pixel_auroc,test_count,memory_bytes,selected_epoch,nu,selected_gamma
DeepSVDD,mnist,3,8,soft-boundary,0.8841057720900011,0.982901333257055,,10000,,,0.1,
DeepSVDD,mnist,3,9,one-class,0.8860340972918204,0.9829729363905119,,10000,,,0.1,
DeepSVDD,mnist,3,9,soft-boundary,0.8823220520049779,0.9827441686146389,,10000,,,0.1,
DeepSVDD,mnist,3,10,one-class,0.886048194363374,0.9830005057317517,,10000,,,0.1,
DeepSVDD,mnist,3,10,soft-boundary,0.888831319728191,0.984175566022868,,10000,,,0.1,
DeepSVDD,mnist,4,1,one-class,0.9243941964453082,0.9908181077793581,,10000,,,0.1,
DeepSVDD,mnist,4,1,soft-boundary,0.9189594334752085,0.9902159168012713,,10000,,,0.1,
DeepSVDD,mnist,4,2,one-class,0.9439688172873533,0.9935087735081584,,10000,,,0.1,
DeepSVDD,mnist,4,2,soft-boundary,0.9514878367275406,0.9944510644335417,,10000,,,0.1,
DeepSVDD,mnist,4,3,one-class,0.9370669161789569,0.9925428430538931,,10000,,,0.1,
DeepSVDD,mnist,4,3,soft-boundary,0.9353983817836155,0.9923684544564108,,10000,,,0.1,
DeepSVDD,mnist,4,4,one-class,0.8732729720464028,0.984194089829111,,10000,,,0.1,
DeepSVDD,mnist,4,4,soft-boundary,0.8723235809440183,0.9838920779358837,,10000,,,0.1,
DeepSVDD,mnist,4,5,one-class,0.9351093016501508,0.9923070188510492,,10000,,,0.1,
DeepSVDD,mnist,4,5,soft-boundary,0.9444818216023259,0.993460813782597,,10000,,,0.1,
DeepSVDD,mnist,4,6,one-class,0.9540247407425474,0.9947001022581791,,10000,,,0.1,
DeepSVDD,mnist,4,6,soft-boundary,0.9582206937110165,0.9952178863144403,,10000,,,0.1,
DeepSVDD,mnist,4,7,one-class,0.9287191627155285,0.9909034429701676,,10000,,,0.1,
DeepSVDD,mnist,4,7,soft-boundary,0.9439753667591271,0.993301997571755,,10000,,,0.1,
DeepSVDD,mnist,4,8,one-class,0.9525005205700842,0.9945123558284562,,10000,,,0.1,
DeepSVDD,mnist,4,8,soft-boundary,0.9573548083737481,0.9950784688117082,,10000,,,0.1,
DeepSVDD,mnist,4,9,one-class,0.9365635102277906,0.9926775313794595,,10000,,,0.1,
DeepSVDD,mnist,4,9,soft-boundary,0.9376337842531728,0.9928150635276227,,10000,,,0.1,
DeepSVDD,mnist,4,10,one-class,0.9561157160672997,0.9947709301929071,,10000,,,0.1,
DeepSVDD,mnist,4,10,soft-boundary,0.9607667444021213,0.995384786905569,,10000,,,0.1,
DeepSVDD,mnist,5,1,one-class,0.8218409479863954,0.9757262089400469,,10000,,,0.1,
DeepSVDD,mnist,5,1,soft-boundary,0.816086385398142,0.9762897770219212,,10000,,,0.1,
DeepSVDD,mnist,5,2,one-class,0.8359016047588381,0.9781615863943719,,10000,,,0.1,
DeepSVDD,mnist,5,2,soft-boundary,0.8394185075555713,0.979050005411984,,10000,,,0.1,
DeepSVDD,mnist,5,3,one-class,0.773857703571098,0.9667449020380676,,10000,,,0.1,
DeepSVDD,mnist,5,3,soft-boundary,0.8021221672761933,0.9727704482180652,,10000,,,0.1,
DeepSVDD,mnist,5,4,one-class,0.8768577518211951,0.9827974326327165,,10000,,,0.1,
DeepSVDD,mnist,5,4,soft-boundary,0.8830442266297209,0.9844593020851372,,10000,,,0.1,
DeepSVDD,mnist,5,5,one-class,0.8730615646620229,0.9839580079598633,,10000,,,0.1,
DeepSVDD,mnist,5,5,soft-boundary,0.8616418006345381,0.9829177221038896,,10000,,,0.1,
DeepSVDD,mnist,5,6,one-class,0.8689924936634821,0.9823418746612538,,10000,,,0.1,
DeepSVDD,mnist,5,6,soft-boundary,0.8665791272049801,0.9824793162505217,,10000,,,0.1,
DeepSVDD,mnist,5,7,one-class,0.8331528878175398,0.976553836954248,,10000,,,0.1,
DeepSVDD,mnist,5,7,soft-boundary,0.8459688274832553,0.9792557719575226,,10000,,,0.1,
DeepSVDD,mnist,5,8,one-class,0.8435808784865619,0.9790100086491214,,10000,,,0.1,
DeepSVDD,mnist,5,8,soft-boundary,0.8455051588215947,0.9796051731249831,,10000,,,0.1,
DeepSVDD,mnist,5,9,one-class,0.8971731351337512,0.9869975634573718,,10000,,,0.1,
DeepSVDD,mnist,5,9,soft-boundary,0.8912757916462342,0.986671217427844,,10000,,,0.1,
DeepSVDD,mnist,5,10,one-class,0.8411828979008253,0.9796300520582863,,10000,,,0.1,
DeepSVDD,mnist,5,10,soft-boundary,0.8363228699551569,0.9794952293983016,,10000,,,0.1,
DeepSVDD,mnist,6,1,one-class,0.9794620003426366,0.9972696578587771,,10000,,,0.1,
DeepSVDD,mnist,6,1,soft-boundary,0.9787909264998091,0.9972508675506145,,10000,,,0.1,
DeepSVDD,mnist,6,2,one-class,0.9571930388412413,0.9932316098079337,,10000,,,0.1,
DeepSVDD,mnist,6,2,soft-boundary,0.9578018885654929,0.9934225600906889,,10000,,,0.1,
DeepSVDD,mnist,6,3,one-class,0.954504933830018,0.9925569520617176,,10000,,,0.1,
DeepSVDD,mnist,6,3,soft-boundary,0.9549132002406768,0.9928594878342103,,10000,,,0.1,
DeepSVDD,mnist,6,4,one-class,0.968640198673876,0.9948863061078095,,10000,,,0.1,
DeepSVDD,mnist,6,4,soft-boundary,0.9695801407396427,0.9951363345794126,,10000,,,0.1,
DeepSVDD,mnist,6,5,one-class,0.9668956144810648,0.995109397347766,,10000,,,0.1,
DeepSVDD,mnist,6,5,soft-boundary,0.9689778713025134,0.99544600592235,,10000,,,0.1,
