category,method,auroc_mean,auroc_sd
carpet,Bubble_BAF,0.9581326912787587,0.02126931964719203
carpet,DROCC_head,0.6573033707865169,0.2943710930753212
carpet,DeepSVDD_head,0.9719101123595505,0.010923481210927916
carpet,NBD,0.9101123595505619,0.0321928910435499
carpet,PatchCore_same_fit_top1pct,0.9840823970037453,0.001409263476839535
carpet,PatchScore_byte_budget,0.9822097378277154,0.0026718812674475885
carpet,PatchScore_same_centers,0.980872124130551,0.0006129716017864757
carpet,RBF_SVDD,0.972980203317282,0.000612971601786503
grid,Bubble_B,0.9757727652464494,0.0030121564540217965
grid,Bubble_BA,0.974937343358396,0.004420637111219053
grid,Bubble_BAD,0.9657477025898079,0.00805651692647694
grid,Bubble_BAF,0.9668615984405458,0.006489100639226388
grid,DROCC_head,0.25619604566972987,0.00670075712365133
grid,DeepSVDD_head,0.9507101086048454,0.011301377826623852
grid,NBD,0.9534948482316903,0.006752634727364073
grid,PatchCore_same_fit_top1pct,0.9791144527986634,0.006630955666828511
grid,PatchScore_byte_budget,0.9827346143135617,0.0009646621039091491
grid,PatchScore_same_centers,0.9626844890002785,0.007006263227741077
grid,RBF_SVDD,0.7749930381509329,0.012173485376994865
hazelnut,Bubble_B,0.7428571428571429,0.06180945043652549
hazelnut,Bubble_BA,0.7277380952380952,0.07512093424542028
hazelnut,Bubble_BAD,0.6888095238095238,0.09036090713032363
hazelnut,Bubble_BAF,0.7904761904761904,0.03723945771469229
hazelnut,DROCC_head,0.5,0.0
hazelnut,DeepSVDD_head,0.9365476190476191,0.011239129290602709
hazelnut,NBD,0.7394047619047619,0.053421615921076825
hazelnut,PatchCore_same_fit_top1pct,1.0,0.0
hazelnut,PatchScore_byte_budget,1.0,0.0
hazelnut,PatchScore_same_centers,0.9985714285714286,0.0021724151893922155
hazelnut,RBF_SVDD,0.8736904761904762,0.0037852650227582075
leather,Bubble_B,0.9895833333333334,0.01804219591217582
leather,Bubble_BA,1.0,0.0
leather,Bubble_BAD,0.9592391304347826,0.03125553767097291
leather,Bubble_BAF,1.0,0.0
leather,DROCC_head,0.5777853260869565,0.2945685780757472
leather,DeepSVDD_head,1.0,0.0
leather,NBD,0.9722599637681159,0.02772316293986036
leather,PatchCore_same_fit_top1pct,1.0,0.0
leather,PatchScore_byte_budget,1.0,0.0
leather,PatchScore_same_centers,1.0,0.0
leather,RBF_SVDD,1.0,0.0
metal_nut,Bubble_B,0.5426849136526556,0.09894232557002784
metal_nut,Bubble_BA,0.5454545454545454,0.09734028765985997
metal_nut,Bubble_BAD,0.5379602476376669,0.12424885881993092
metal_nut,Bubble_BAF,0.602476376669925,0.05254173391798656
metal_nut,DROCC_head,0.4651352231997394,0.06038756481260016
metal_nut,DeepSVDD_head,0.8960573476702508,0.008554438313994814
metal_nut,NBD,0.5446399478657543,0.0958232718550213
metal_nut,PatchCore_same_fit_top1pct,0.9996741609644836,0.0005643697646037312
metal_nut,PatchScore_byte_budget,0.9995112414467253,0.0
metal_nut,PatchScore_same_centers,0.9538937764744216,0.02881741872623715
metal_nut,RBF_SVDD,0.4618768328445748,0.008479643975023226
pill,Bubble_B,0.47999636297508635,0.03884972140048418
pill,Bubble_BA,0.48390616475722853,0.04204747262832861
pill,Bubble_BAD,0.47917803236952167,0.03476630098376204
pill,Bubble_BAF,0.49136206583015096,0.03315370652359872
pill,DROCC_head,0.496999454446263,0.005197097349497441
pill,DeepSVDD_head,0.8071467539552645,0.030337153857691132
pill,NBD,0.48999818148754315,0.08417115100773488
pill,PatchCore_same_fit_top1pct,0.9620840152755047,0.004199346513459039
pill,PatchScore_byte_budget,0.9699945444626296,0.005982463775084914
pill,PatchScore_same_centers,0.9094380796508457,0.02376135487221225
pill,RBF_SVDD,0.5435533733406074,0.00825722810191495
screw,Bubble_B,0.6543690646990504,0.11669415861615093
screw,Bubble_BA,0.6666666666666666,0.11635130540445199
screw,Bubble_BAD,0.6521145043383206,0.0824470255386456
screw,Bubble_BAF,0.598005055680809,0.0962291901346801
screw,DROCC_head,0.445480631276901,0.11329920135029094
screw,DeepSVDD_head,0.6076381772221083,0.0428578894370818
screw,NBD,0.6011477761836442,0.05609168594579984
screw,PatchCore_same_fit_top1pct,0.9736284757805561,0.008209495806702223
screw,PatchScore_byte_budget,0.9611259137801462,0.007339553621065361
screw,PatchScore_same_centers,0.7034911525585844,0.020447096120896624
screw,RBF_SVDD,0.5183439229350276,0.013278183510346866
tile,Bubble_B,0.9954304954304954,0.0015019235205383104
tile,Bubble_BA,0.9953102453102454,0.0015724743663566504
tile,Bubble_BAD,0.9932659932659932,0.0038235000229881713
tile,Bubble_BAF,0.9945887445887447,0.0013007039233275378
tile,DROCC_head,0.6993746993746993,0.23822920641068618
tile,DeepSVDD_head,0.9354256854256855,0.009061945661674236
tile,NBD,0.993025493025493,0.003631473994839263
